Episode,Reward
833.0,-16.92689347191044
834.0,-16.927624537191335
835.0,-16.94834829181942
836.0,-16.928864808901224
837.0,-16.929576160812214
838.0,-16.91028039920409
839.0,-16.931177595212052
840.0,-16.931865819259933
841.0,-16.972547161067336
842.0,-16.952821689456663
843.0,-16.9532934725621
844.0,-16.933760537836477
845.0,-16.92442293245811
846.0,-16.93517870313353
847.0,-16.915826916102194
848.0,-16.916668646941172
849.0,-16.90750196047176
850.0,-16.89842694086704
851.0,-16.89944267145837
852.0,-16.90044824474379
853.0,-16.851443762296352
854.0,-16.84292932467339
855.0,-16.854500031426653
856.0,-16.855955031112387
857.0,-16.877395480801265
858.0,-16.90862152599325
859.0,-16.879535310733317
860.0,-16.91073995762598
861.0,-16.89163255804972
862.0,-16.882716232469225
863.0,-16.89388907014453
864.0,-16.89495017944309
865.0,-16.88600067764866
866.0,-16.84714067087217
867.0,-16.828669264163448
868.0,-16.810382571521814
869.0,-16.852278745806597
870.0,-16.873755958348532
871.0,-16.855018398765043
872.0,-16.81646821477739
873.0,-16.828303532629615
874.0,-16.860020497303317
875.0,-16.881420292330287
876.0,-16.86260608940698
877.0,-16.80398002851291
878.0,-16.74594022822778
879.0,-16.7084808259455
880.0,-16.721396017686043
881.0,-16.754182057509183
882.0,-16.776640236934092
883.0,-16.81887383456475
884.0,-16.810685096219103
885.0,-16.812578245256915
886.0,-16.784452462804346
887.0,-16.736607938176302
888.0,-16.73924185879454
889.0,-16.751849440206595
890.0,-16.764330945804527
891.0,-16.74668763634648
892.0,-16.759220759983013
893.0,-16.761628552383183
894.0,-16.754012266859352
895.0,-16.696472144190757
896.0,-16.69950742274885
897.0,-16.692512348521362
898.0,-16.655587225036147
899.0,-16.669031352785783
900.0,-16.662341039257925
901.0,-16.685717628865348
902.0,-16.608860452576693
903.0,-16.602771848050924
904.0,-16.586744129570413
905.0,-16.59087668827471
906.0,-16.584967921391964
907.0,-16.589118242178046
908.0,-16.593227059756266
909.0,-16.567294789158705
